연월,평균기온,강수량,상대습도,예상_로스율_%,품목명,예상_기후_분류
202711,8.3,58.7,61.99,3.74,감자,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.74,당근,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.74,대파,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.74,배추,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.74,양파,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.74,풋고추,정상기후 (일반 로스율 예상)
202711,8.3,58.7,61.99,3.74,호박,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.84,감자,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.84,당근,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.84,대파,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.84,배추,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.84,양파,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.84,풋고추,정상기후 (일반 로스율 예상)
202712,1.6,33.5,58.76,3.84,호박,정상기후 (일반 로스율 예상)
